, dog, poodle, wolf, 
dog, 1.0, 0.9411764705882353, 0.8275862068965517, 
poodle, 0.9411764705882353, 1.0, 0.7272727272727273, 
wolf, 0.8275862068965517, 0.7272727272727273, 1.0, 
